title,year,genre2,genre3,runtime,rating,votes
Norm of the North: Family Vacation,2020, Adventure, Comedy,90,3,307
Tom and Jerry: Snowman's Land,2022, Adventure, Comedy,76,4.9,164
The Larva Island Movie,2020, Adventure, Comedy,89,5.1,693
Muumipapan urotyöt - erään nuoren muumin seikkailut,2021, Adventure, Family,74,5.7,33
Cranston Academy: Monster Zone,2020, Adventure, Family,85,5.1,"1,058"
Nussa: The Movie,2021, Adventure, Comedy,107,7.4,527
Helt super,2022, Family,,76,6.3,29
Little Foot,2020, Family,,72,3.9,40
Kimi o Aishita Hitori no Boku e,2022, Fantasy, Romance,98,5.7,10
Owl Pellets,2020, Short, Comedy,1,8.2,32
Fate Grand Order: The Grand Temple of Time,2021, Action, Drama,94,6.6,238
Mushikago no Cagaster,2020, Action, Drama,29,6.1,691
Elliott from Earth,2021, Comedy, Family,12,7.7,345
Meitantei Conan: Hiiro no dangan,2021, Action, Crime,110,6.2,"1,275"
JJ Villard's Fairy Tales,2020, Comedy, Horror,11,5.8,320
Maou-jou de Oyasumi,2020, Comedy, Fantasy,23,7.5,587
Knutsen & Ludvigsen 2 - Det store dyret,2020, Comedy, Family,78,5.9,194
Curious George: Cape Ahoy,2021, Adventure, Comedy,88,6.6,79
Yesterday wo Utatte,2020, Drama, Romance,23,6.9,829
Καραγκιόζης the Movie,2022, Comedy, Family,74,6.3,12
Adam by Eve: A live in Animation,2022, Music,,58,6.1,459
Maya the Bee 3: The Golden Orb,2021, Adventure,,88,5.3,292
The Millionaire Detective: Balance - Unlimited,2020, Crime, Drama,23,7.3,"1,909"
Félix et le trésor de Morgäa,2021, Adventure, Family,85,5.4,369
Mugge & hans mærkelige hjerne,2022, Comedy, Family,84,5,37
El Deafo,2022, Short, Adventure,25,8.3,101
The Academy of Magic,2020, Fantasy,,86,3.3,"2,979"
City of Ghosts,2021, Adventure, Family,20,7.6,420
The Great Wolf Pack: A Call to Adventure,2022, Adventure, Comedy,47,8.2,24
Fazbear: The Fallen Child,2022, Comedy, Horror,46,7,11
Misaki no Mayoiga,2021, Drama, Family,100,6.7,145
Octonauts & the Great Barrier Reef,2020, Action, Adventure,47,6.7,159
Moje slunce Mad,2021, Drama,,85,6.7,322
True North,2020, Drama,,93,6.9,248
Ivan Tsarevich i Seryy Volk 5,2022, Adventure, Family,78,5.4,8
Rotzbub,2021, Comedy, Drama,86,6.6,311
Toldi - Movie,2022, Adventure, Family,103,8.3,92
Koi to Yobu ni wa Kimochi Warui,2021, Comedy, Romance,24,7.1,801
Devil May Care,2021, Comedy,,12,6.1,374
SSSS.Dynazenon,2021, Action, Adventure,24,6.7,272
El Camino de Xico,2020, Family, Fantasy,85,5.1,578
Eflâtun,2022, Drama, Romance,103,5.2,263
"Calamity, une enfance de Martha Jane Cannary",2020, Adventure, Comedy,85,7.2,543
Xiong chu mo: Chong fan di qiu,2022, Comedy, Family,97,5.9,168
Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,2020, Action, Drama,90,6.1,284
Psycho-Pass 3: First Inspector,2020, Action, Sci-Fi,135,7.4,742
Burû sâmaru,2022, Drama, Romance,103,6.6,166
Zabij to i wyjedz z tego miasta,2020, Drama, Horror,88,6.6,936
Pets,2020, Comedy, Family,60,6.5,58
Magical Girl Friendship Squad,2020, Short, Comedy,12,3.3,"1,431"
The Donkey King,2020, Adventure, Comedy,98,5.1,241
Thomas & Friends: Race for the Sodor Cup,2021, Family, Musical,60,3.7,88
Tromba Trem: O Filme,2022, Adventure, Comedy,94,9.1,46
My Fairy Troublemaker,2022, Adventure, Comedy,85,6.8,24
Combat Wombat,2020, Family, Fantasy,90,5.2,233
Tribe Nine,2022, Action, Adventure,24,5.4,142
Kakushigoto,2020, Comedy, Drama,23,7.4,854
Elleville Elfrid,2020, Family, Musical,75,4.8,295
Ganbare Douki-chan,2021, Comedy, Romance,6,6.2,273
"Le pharaon, le sauvage et la princesse",2022, Family,,83,7,95
Nahuel y el Libro Mágico,2020, Adventure, Family,98,6.5,229
Bigfoot vs the Illuminati,2020, Horror, Sci-Fi,76,2.9,123
Octonauts and the Caves of Sac Actun,2020, Adventure, Comedy,72,6.3,197
Eiga Yurukyan,2022, Adventure, Comedy,120,7.6,160
Majo minarai wo sagashite,2020, Adventure, Comedy,91,6.7,188
Pelle Svanslös,2020, Family, Musical,67,5.5,221
Under the Sea,2020, Family,,81,7.1,87
Blokhavn,2020, Comedy,,76,5.1,141
The Swan Princess: A Royal Wedding,2020, Adventure, Comedy,83,5.7,114
Malchik-delfin,2022, Adventure, Comedy,90,6.3,390
TeraStorm,2022, Action, Sci-Fi,62,8.9,17
The Rodfellows Movie,2020, Adventure, Comedy,117,3.2,97
Lille Allan - den menneskelige antenne,2022, Adventure, Family,85,5.8,66
Hayop ka!,2020, Comedy, Romance,73,6.4,284
Fate/kaleid liner Prisma Illya,2021, Drama, Fantasy,94,7.1,61
Boom and Topper: Safari Hunters,2020, Action, Adventure,141,3.2,17
Mamma Mu hittar hem,2021, Family,,65,6.5,70
Gekijouban Isekai Quartet: Another World,2022, Comedy, Fantasy,112,7.2,42
Nosferatu Re-Animated,2020, Horror,,79,7.5,29
Xi you ji zhi Zai shi yao wang,2021, Action, Fantasy,95,6,432
Goodbye Monster,2022, Adventure, Comedy,99,5.6,22
Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,2021, Action, Drama,96,6.7,197
Princesse Dragon,2021, Family, Fantasy,70,7.7,77
Snezhnaya koroleva: Razmorozka,2022, Adventure, Fantasy,80,6,19
Little Singham: Kaal Ka Badla,2020, Action,,69,7.2,35
Eiga Odd Taxi: In the Woods,2022, Mystery, Thriller,128,6.2,95
Jiang Ziya,2020, Action, Adventure,110,6.5,"1,928"
Barbie Princess Adventure,2020, Family, Musical,72,5.5,532
Horse Julius and Big Horse Racing,2020, Adventure, Comedy,77,5.4,229
Kureyon Shinchan: Gekitotsu Rakugakingudamu to Hobo Shi-Ri no Yusha,2020, Action, Adventure,103,6.5,244
Brightheart 2: Firefly Action Brigade,2020, Family, Fantasy,85,6.1,56
Hello Jadoo: The Secret of Jeju Island,2022, Adventure, Comedy,90,8.2,300
Ryouma! The Prince of Tennis Shinsei Gekijouban Tennis no Ouji-sama,2021, Action, Musical,100,5.7,34
Chink: Khostatiy detektiv,2022, Adventure, Family,85,4.7,11
Nayola,2022, Fantasy,,90,7.6,45
Boku ga Aishita Subete no Kimi e,2022, Fantasy, Romance,102,5.9,11
Yong zhi cheng,2021, Action, Adventure,111,6.2,167
Tri bogatyrya i Kon' na trone,2021, Adventure, Comedy,91,5.5,207
Magic Arch 3D,2020, Family, Fantasy,82,4.2,357
Girls und Panzer das Finale: Part III,2021, Action, Comedy,48,7.3,123
Gekijouban Shoujo Kageki Revue Starlight,2021, Action, Drama,120,8,128
Mystery of the Kingdom of God,2021, Family,,91,2.5,96
Las Leyendas: El Origen,2022, Adventure, Comedy,120,6.3,48
Tom and Jerry in New York,2021, Short, Adventure,21,7,363
Jul på KuToppen,2020, Family,,68,6,87
Space Dogs: Tropical Adventure,2020, Action, Adventure,80,7,495
Doraemon the Movie: Nobita's Little Star Wars 2021,2022, Action, Adventure,108,6.6,382
Toxic Alien Zombie Babes from Outer Space,2022, Action, Comedy,126,3.3,28
Uchuu senkan Yamato 2205: Aratanaru tabidachi,2021, Action, Sci-Fi,103,7.4,22
Deemo,2021, Fantasy, Music,89,6.1,28
Yabba Dabba Dinosaurs,2020, Short, Adventure,22,4.8,120
Crayon Shin-chan: Mononoke Ninja Chinpuden,2022, Comedy,,100,7.8,100
Apstjärnan,2021, Family,,75,5.7,134
Dinosaur Train: Adventure Island,2021, Adventure, Family,85,7.1,55
